data,variavel,valor
1997-09-01,Semi-duráveis,-0.18
1997-09-01,Serviços,0.12
1997-10-01,Comercializáveis,0.31
1997-10-01,Duráveis,-0.3
1997-10-01,Livres,0.27
1997-10-01,Monitorados,0.05
1997-10-01,Não comercializáveis,0.22
1997-10-01,Não-duráveis,0.43
1997-10-01,Semi-duráveis,0.4
1997-10-01,Serviços,0.19
1997-11-01,Comercializáveis,0.01
1997-11-01,Duráveis,-0.21
1997-11-01,Livres,0.0
1997-11-01,Monitorados,1.06
1997-11-01,Não comercializáveis,-0.01
1997-11-01,Não-duráveis,0.17
1997-11-01,Semi-duráveis,-0.42
1997-11-01,Serviços,0.05
1997-12-01,Comercializáveis,0.31
1997-12-01,Duráveis,0.0
1997-12-01,Livres,0.27
1997-12-01,Monitorados,1.28
1997-12-01,Não comercializáveis,0.23
1997-12-01,Não-duráveis,0.56
1997-12-01,Semi-duráveis,0.19
1997-12-01,Serviços,0.08
1998-01-01,Comercializáveis,0.59
1998-01-01,Duráveis,0.34
1998-01-01,Livres,0.68
1998-01-01,Monitorados,0.86
1998-01-01,Não comercializáveis,0.76
1998-01-01,Não-duráveis,1.41
1998-01-01,Semi-duráveis,-0.18
1998-01-01,Serviços,0.4
1998-02-01,Comercializáveis,0.21
1998-02-01,Duráveis,0.47
1998-02-01,Livres,0.42
1998-02-01,Monitorados,0.65
1998-02-01,Não comercializáveis,0.61
1998-02-01,Não-duráveis,0.54
1998-02-01,Semi-duráveis,-0.17
1998-02-01,Serviços,0.52
1998-03-01,Comercializáveis,0.29
1998-03-01,Duráveis,0.97
1998-03-01,Livres,0.38
1998-03-01,Monitorados,0.11
1998-03-01,Não comercializáveis,0.47
1998-03-01,Não-duráveis,0.71
1998-03-01,Semi-duráveis,-0.21
1998-03-01,Serviços,0.16
1998-04-01,Comercializáveis,0.11
1998-04-01,Duráveis,-0.14
1998-04-01,Livres,0.21
1998-04-01,Monitorados,0.39
1998-04-01,Não comercializáveis,0.3
1998-04-01,Não-duráveis,0.79
1998-04-01,Semi-duráveis,-0.56
1998-04-01,Serviços,0.03
1998-05-01,Comercializáveis,0.35
1998-05-01,Duráveis,-0.7
1998-05-01,Livres,0.56
1998-05-01,Monitorados,0.2
1998-05-01,Não comercializáveis,0.74
1998-05-01,Não-duráveis,0.85
1998-05-01,Semi-duráveis,0.56
1998-05-01,Serviços,0.56
1998-06-01,Comercializáveis,0.28
1998-06-01,Duráveis,0.69
1998-06-01,Livres,0.04
1998-06-01,Monitorados,-0.07
1998-06-01,Não comercializáveis,-0.18
1998-06-01,Não-duráveis,0.16
1998-06-01,Semi-duráveis,-0.1
1998-06-01,Serviços,-0.18
1998-07-01,Comercializáveis,-0.02
1998-07-01,Duráveis,-0.21
1998-07-01,Livres,-0.19
1998-07-01,Monitorados,0.26
1998-07-01,Não comercializáveis,-0.35
1998-07-01,Não-duráveis,-0.68
1998-07-01,Semi-duráveis,-0.13
1998-07-01,Serviços,0.26
1998-08-01,Comercializáveis,-0.52
1998-08-01,Duráveis,-0.61
1998-08-01,Livres,-0.45
1998-08-01,Monitorados,-0.8
1998-08-01,Não comercializáveis,-0.4
1998-08-01,Não-duráveis,-0.84
1998-08-01,Semi-duráveis,-0.58
1998-08-01,Serviços,0.0
1998-09-01,Comercializáveis,-0.12
1998-09-01,Duráveis,-0.32
1998-09-01,Livres,-0.24
1998-09-01,Monitorados,-0.11
1998-09-01,Não comercializáveis,-0.35
1998-09-01,Não-duráveis,-0.33
1998-09-01,Semi-duráveis,-0.26
1998-09-01,Serviços,-0.14
1998-10-01,Comercializáveis,0.1
1998-10-01,Duráveis,-0.23
1998-10-01,Livres,0.05
1998-10-01,Monitorados,-0.15
1998-10-01,Não comercializáveis,0.02
1998-10-01,Não-duráveis,0.06
1998-10-01,Semi-duráveis,0.62
1998-10-01,Serviços,-0.1
1998-11-01,Comercializáveis,-0.11
1998-11-01,Duráveis,-0.72
